id,ability_id,version_group_id,language_id,flavor_text
1,1,5,9,"Helps repel wild POKéMON."
2,1,6,9,"Helps repel wild POKéMON."
3,1,7,9,"Helps repel wild POKéMON."
4,1,8,9,"The stench helps keep
wild Pokémon away."
5,1,9,9,"The stench helps keep
wild Pokémon away."
6,1,10,9,"The stench helps keep
wild Pokémon away."
7,1,11,5,"La puanteur peut
effrayer l’adversaire."
8,1,11,9,"The stench may cause
the target to flinch."
9,1,14,9,"The stench may cause
the target to flinch."
10,1,15,1,"くさくて　あいてが
ひるむ　ことがある。"
11,1,15,3,"악취 때문에 상대가
풀죽을 때가 있다."
12,1,15,5,"La puanteur peut effrayer
l’adversaire."
13,1,15,6,"Lässt den Gegner durch Gestank
zurückschrecken."
14,1,15,7,"Es posible que el rival retroceda
por el mal olor."
15,1,15,8,"A volte il cattivo odore
fa tentennare i nemici."
16,1,15,9,"The stench may cause
the target to flinch."
17,1,15,11,"臭くて　相手が
ひるむ　ことがある。"
18,1,16,1,"くさくて　あいてが
ひるむ　ことがある。"
19,1,16,3,"악취 때문에 상대가
풀죽을 때가 있다."
20,1,16,5,"La puanteur peut effrayer
l’adversaire."
21,1,16,6,"Lässt den Gegner durch Gestank
zurückschrecken."
22,1,16,7,"Es posible que el rival retroceda
por el mal olor."
23,1,16,8,"A volte il cattivo odore
fa tentennare i nemici."
24,1,16,9,"The stench may cause
the target to flinch."
25,1,16,11,"臭くて　相手が
ひるむ　ことがある。"
26,2,5,9,"Summons rain in battle."
27,2,6,9,"Summons rain in battle."
28,2,7,9,"Summons rain in battle."
29,2,8,9,"The Pokémon makes it rain
if it appears in battle."
30,2,9,9,"The Pokémon makes it rain
if it appears in battle."
31,2,10,9,"The Pokémon makes it rain
if it appears in battle."
32,2,11,5,"Le Pokémon invoque la pluie
quand il entre au combat."
33,2,11,9,"The Pokémon makes it rain
if it appears in battle."
34,2,14,9,"The Pokémon makes it rain
if it appears in battle."
35,2,15,1,"せんとうに　でると
あめを　ふらす。"
36,2,15,3,"배틀에 나가면
비를 내린다."
37,2,15,5,"Le Pokémon invoque la pluie
quand il entre au combat."
38,2,15,6,"Ruft im Kampf Regen herbei."
39,2,15,7,"Hace que llueva cuando entra en
combate."
40,2,15,8,"Quando scende in campo,
il Pokémon attira la pioggia."
41,2,15,9,"The Pokémon makes it rain
when it enters a battle."
42,2,15,11,"戦闘に　でると
雨を　降らす。"
43,2,16,1,"せんとうに　でると
あめを　ふらす。"
44,2,16,3,"배틀에 나가면
비를 내린다."
45,2,16,5,"Le Pokémon invoque la pluie
quand il entre au combat."
46,2,16,6,"Ruft im Kampf Regen herbei."
47,2,16,7,"Hace que llueva cuando entra en
combate."
48,2,16,8,"Quando scende in campo,
il Pokémon attira la pioggia."
49,2,16,9,"The Pokémon makes it rain
when it enters a battle."
50,2,16,11,"戦闘に　でると
雨を　降らす。"
51,3,5,9,"Gradually boosts SPEED."
52,3,6,9,"Gradually boosts SPEED."
53,3,7,9,"Gradually boosts SPEED."
54,3,8,9,"The Pokémon’s Speed stat
is gradually boosted."
55,3,9,9,"The Pokémon’s Speed stat
is gradually boosted."
56,3,10,9,"Its Speed stat is
gradually boosted."
57,3,11,5,"La Vitesse du Pokémon
augmente progressivement."
58,3,11,9,"Its Speed stat is
gradually boosted."
59,3,14,9,"Its Speed stat is
gradually boosted."
60,3,15,1,"ちょっとずつ
すばやく　なっていく。"
61,3,15,3,"조금씩
스피드가 높아진다."
62,3,15,5,"La Vitesse du Pokémon
augmente progressivement."
63,3,15,6,"Erhöht Initiative nach und nach."
64,3,15,7,"Aumenta la Velocidad
gradualmente."
65,3,15,8,"La statistica Velocità aumenta
gradualmente."
66,3,15,9,"Its Speed stat is
gradually boosted."
67,3,15,11,"ちょっとずつ
素早く　なっていく。"
68,3,16,1,"ちょっとずつ
すばやく　なっていく。"
69,3,16,3,"조금씩
스피드가 높아진다."
70,3,16,5,"La Vitesse du Pokémon
augmente progressivement."
71,3,16,6,"Erhöht Initiative nach und nach."
72,3,16,7,"Aumenta la Velocidad
gradualmente."
73,3,16,8,"La statistica Velocità aumenta
gradualmente."
74,3,16,9,"Its Speed stat is
gradually boosted."
75,3,16,11,"ちょっとずつ
素早く　なっていく。"
76,4,5,9,"Blocks critical hits."
77,4,6,9,"Blocks critical hits."
78,4,7,9,"Blocks critical hits."
79,4,8,9,"The Pokémon is protected
against critical hits."
80,4,9,9,"The Pokémon is protected
against critical hits."
81,4,10,9,"The Pokémon is protected
against critical hits."
82,4,11,5,"Le Pokémon est protégé
des coups critiques."
83,4,11,9,"The Pokémon is protected
against critical hits."
84,4,14,9,"The Pokémon is protected
against critical hits."
