id,first_move_id,second_move_id
1,1,3
2,1,29
3,1,185
4,7,8
5,7,9
6,8,7
7,8,9
8,9,7
9,9,8
10,10,154
11,10,163
12,11,12
13,11,20
14,14,15
15,14,152
16,14,163
17,14,206
18,14,210
19,14,306
20,28,189
21,30,31
22,30,32
23,43,10
24,43,23
25,43,30
26,43,33
27,43,44
28,43,137
29,43,184
30,43,185
31,47,195
32,47,287
33,57,291
34,64,31
35,64,65
36,74,22
37,74,71
38,74,72
39,74,73
40,74,75
41,74,76
42,74,80
43,74,202
44,74,331
45,74,338
46,74,345
47,82,225
48,82,337
49,82,349
50,88,157
51,88,317
52,89,90
53,89,284
54,93,94
55,93,100
56,93,134
57,93,248
58,94,93
59,94,100
60,94,134
61,94,248
62,95,138
63,95,171
64,99,37
65,99,43
66,99,184
67,104,97
68,104,98
69,104,100
70,106,33
71,106,36
72,106,38
73,106,182
74,106,205
75,111,33
76,111,205
77,116,2
78,116,5
79,116,21
80,116,25
81,116,36
82,116,38
83,116,167
84,116,198
85,116,223
86,116,238
87,116,264
88,116,280
89,116,292
90,116,327
91,123,108
92,124,188
93,125,155
94,125,198
95,134,93
96,134,94
97,134,100
98,134,248
99,135,121
100,155,125
101,155,198
102,156,173
103,156,214
104,170,5
105,170,25
106,170,26
107,170,66
108,170,136
109,170,223
110,170,276
111,170,329
112,174,180
113,174,194
114,174,212
115,174,288
116,181,59
117,184,43
118,184,44
119,184,162
120,184,242
121,187,156
122,188,124
123,189,28
124,189,300
125,198,125
126,198,155
127,199,87
128,199,161
129,199,190
130,199,192
131,199,276
132,201,28
133,201,189
134,201,300
135,201,311
136,201,328
137,201,341
138,203,175
139,203,179
140,203,194
141,203,220
142,203,283
143,203,284
144,204,39
145,204,45
146,204,156
147,204,186
148,204,260
149,212,194
150,212,195
151,225,82
152,225,337
153,225,349
154,230,77
155,230,78
156,230,79
157,240,3
158,240,55
159,240,56
160,240,57
161,240,61
162,240,87
163,240,127
164,240,128
165,240,145
166,240,152
167,240,190
168,240,291
169,240,308
170,240,311
171,240,323
172,240,330
173,240,346
174,240,352
175,241,7
176,241,27
177,241,52
178,241,53
179,241,76
180,241,83
181,241,126
182,241,172
183,241,221
184,241,234
185,241,235
186,241,236
187,241,257
188,241,284
189,241,299
190,241,307
191,241,311
192,241,315
193,252,69
194,252,185
195,252,233
196,252,282
197,252,292
198,254,255
199,254,256
200,258,58
201,258,59
202,258,62
203,258,114
204,258,181
205,258,196
206,258,301
207,258,311
208,258,329
209,258,333
210,268,9
211,268,84
212,268,85
213,268,86
214,268,87
215,268,192
216,268,209
217,268,344
218,268,351
219,269,68
220,269,197
221,269,243
222,281,156
223,281,303
224,291,57
225,300,55
226,300,189
227,300,346
228,319,232
229,346,55
230,346,287
231,346,300
232,347,60
233,347,93
234,347,94
235,347,96
236,347,113
237,347,115
238,347,138
239,347,149
240,347,248
241,347,295
242,347,296
243,347,354
244,349,82
245,349,225
246,349,337
