id,encounter_id,encounter_condition_value_id
1,125,2
2,126,1
3,127,2
4,128,1
5,131,7
6,132,6
7,133,7
8,134,6
9,137,8
10,138,9
11,139,10
12,140,11
13,141,12
14,142,13
15,143,8
16,144,9
17,145,10
18,146,11
19,147,12
20,148,13
21,149,7
22,150,6
23,151,7
24,152,6
25,173,2
26,174,1
27,175,2
28,176,1
29,177,3
30,178,4
31,179,5
32,180,3
33,181,4
34,182,5
35,183,7
36,184,6
37,185,7
38,186,6
39,189,8
40,190,9
41,191,10
42,192,11
43,193,12
44,194,13
45,195,8
46,196,9
47,197,10
48,198,11
49,199,12
50,200,13
51,201,7
52,202,6
53,203,7
54,204,6
55,205,2
56,206,1
57,207,2
58,208,1
59,211,7
60,212,6
61,213,7
62,214,6
63,219,7
64,220,6
65,221,7
66,222,6
67,245,3
68,246,4
69,247,5
70,248,3
71,249,4
72,250,5
73,287,8
74,288,9
75,289,10
76,290,11
77,291,12
78,292,13
79,293,8
80,294,9
81,295,10
82,296,11
83,297,12
84,298,13
85,309,8
86,310,9
87,311,10
88,312,11
89,313,12
90,314,13
91,315,8
92,316,9
93,317,10
94,318,11
95,319,12
96,320,13
97,325,3
98,326,4
99,327,5
100,328,3
101,329,4
102,330,5
103,331,7
104,332,6
105,333,7
106,334,6
107,337,8
108,338,9
109,339,10
110,340,11
111,341,12
112,342,13
113,343,8
114,344,9
115,345,10
116,346,11
117,347,12
118,348,13
119,349,7
120,350,6
121,351,7
122,352,6
123,355,3
124,356,4
125,357,5
126,358,3
127,359,4
128,360,5
129,361,7
130,362,6
131,363,7
132,364,6
133,367,8
134,368,9
135,369,10
136,370,11
137,371,12
138,372,13
139,373,8
140,374,9
141,375,10
142,376,11
143,377,12
144,378,13
145,379,7
146,380,6
147,381,7
148,382,6
149,391,8
150,392,9
151,393,10
152,394,11
153,395,12
154,396,13
155,397,8
156,398,9
157,399,10
158,400,11
159,401,12
160,402,13
161,433,8
162,434,9
163,435,10
164,436,11
165,437,12
166,438,13
167,439,8
168,440,9
169,441,10
170,442,11
171,443,12
172,444,13
173,455,8
174,456,9
