id,encounter_condition_value_id,local_language_id,name
1,1,6,"Während eines Schwarms"
2,1,9,"During a swarm"
3,2,6,"Außerhalb eines Schwarms"
4,2,9,"Not during a swarm"
5,3,6,"Am Morgen"
6,3,9,"In the morning"
7,4,6,"Am Tag"
8,4,9,"During the day"
9,5,6,"In der Nacht"
10,5,9,"At night"
11,6,6,"Durch Benutzung des Pokéradars"
12,6,9,"Using PokéRadar"
13,7,6,"Ohne Benutzung des Pokéradars"
14,7,9,"Not using PokéRadar"
15,8,6,"Kein Spiel in Slot 2"
16,8,9,"No game in slot 2"
17,9,6,"Rubin in Slot 2"
18,9,9,"Ruby in slot 2"
19,10,6,"Saphir in Slot 2"
20,10,9,"Sapphire in slot 2"
21,11,6,"Smaragd in Slot 2"
22,11,9,"Emerald in slot 2"
23,12,6,"Feuerrot in slot 2"
24,12,9,"FireRed in slot 2"
25,13,6,"Blattgrün in slot 2"
26,13,9,"LeafGreen in slot 2"
27,14,6,"Radio aus"
28,14,9,"Radio off"
29,15,6,"Hoenn-Sound im Radio"
30,15,9,"Hoenn radio"
31,16,6,"Sinnoh-Sound im Radio"
32,16,9,"Sinnoh radio"
33,17,6,"Im Frühling"
34,17,9,"During Spring"
35,18,6,"Im Sommer"
36,18,9,"During Summer"
37,19,6,"Im Herbst"
38,19,9,"During Autumn"
39,20,6,"Im Winter"
40,20,9,"During Winter"
