id,encounter_method_id,local_language_id,name
1,1,6,"Im hohen Gras oder in einer Höhle laufen"
2,1,9,"Walking in tall grass or a cave"
3,2,6,"Mit einer normalen Angel angeln"
4,2,9,"Fishing with an Old Rod"
5,3,6,"Mit einer Profiangel angeln"
6,3,9,"Fishing with a Good Rod"
7,4,6,"Mit einer Superangel angeln"
8,4,9,"Fishing with a Super Rod"
9,5,6,Surfen
10,5,9,Surfing
11,6,6,"Steine zertrümmern"
12,6,9,"Smashing rocks"
13,7,6,"Bäumen Kopfnüsse geben"
14,7,9,"Headbutting trees"
15,8,6,"Im dunklen Gras laufen"
16,8,9,"Walking in dark grass"
17,9,6,"Im raschelndem Gras laufen"
18,9,9,"Walking in rustling grass"
19,10,6,"In Staubwolken laufen"
20,10,9,"Walking in dust clouds"
21,11,6,"Im Schatten einer Brücke laufen"
22,11,9,"Walking in bridge shadows"
23,12,6,"An dunklen stellen angeln"
24,12,9,"Fishing in dark spots"
25,13,6,"An dunklen stellen surfen"
26,13,9,"Surfing in dark spots"
27,14,6,"In gelben Blumenfeldern laufen"
28,14,9,"Walking in yellow flowers"
29,15,6,"In violetten Blumenfeldern laufen"
30,15,9,"Walking in purple flowers"
31,16,6,"In roten Blumenfeldern laufen"
32,16,9,"Walking in red flowers"
33,17,6,"Auf unwegsamen Gelände laufen"
34,17,9,"Walking on rough terrain"
