id,item_category_id,local_language_id,name
1,1,9,"Stat boosts"
2,2,9,"Effort drop"
3,3,9,Medicine
4,4,9,Other
5,5,9,"In a pinch"
6,6,9,"Picky healing"
7,7,9,"Type protection"
8,8,9,"Baking only"
9,9,9,Collectibles
10,10,9,Evolution
11,11,9,Spelunking
12,12,9,"Held items"
13,13,9,Choice
14,14,9,"Effort training"
15,15,9,"Bad held items"
16,16,9,Training
17,17,9,Plates
18,18,9,Species-specific
19,19,9,"Type enhancement"
20,20,9,"Event items"
21,21,9,Gameplay
22,22,9,"Plot advancement"
23,23,9,Unused
24,24,9,Loot
25,25,9,"All mail"
26,26,9,Vitamins
27,27,9,Healing
28,28,9,"PP recovery"
29,29,9,Revival
30,30,9,"Status cures"
31,32,9,Mulch
32,33,9,"Special balls"
33,34,9,"Standard balls"
34,35,9,"Dex completion"
35,36,9,Scarves
36,37,9,"All machines"
37,38,9,Flutes
38,39,9,"Apricorn balls"
39,40,9,"Apricorn Box"
40,41,9,"Data Cards"
41,42,9,Jewels
42,43,9,"Miracle Shooter"
43,44,9,"Mega Stones"
44,10001,9,"X/Y unknown"
