id,item_id,item_flag_id
1,1,1
2,1,2
3,1,4
4,1,5
5,2,1
6,2,2
7,2,4
8,2,5
9,3,1
10,3,2
11,3,4
12,3,5
13,4,1
14,4,2
15,4,4
16,4,5
17,5,1
18,5,2
19,5,4
20,5,5
21,6,1
22,6,2
23,6,4
24,6,5
25,7,1
26,7,2
27,7,4
28,7,5
29,8,1
30,8,2
31,8,4
32,8,5
33,9,1
34,9,2
35,9,4
36,9,5
37,10,1
38,10,2
39,10,4
40,10,5
41,11,1
42,11,2
43,11,4
44,11,5
45,12,1
46,12,2
47,12,4
48,12,5
49,13,1
50,13,2
51,13,4
52,13,5
53,14,1
54,14,2
55,14,4
56,14,5
57,15,1
58,15,2
59,15,4
60,15,5
61,16,1
62,16,2
63,16,4
64,16,5
65,17,1
66,17,2
67,17,3
68,17,4
69,17,5
70,18,1
71,18,2
72,18,3
73,18,4
74,18,5
75,19,1
76,19,2
77,19,3
78,19,4
79,19,5
80,20,1
81,20,2
82,20,3
83,20,4
84,20,5
85,21,1
86,21,2
87,21,3
88,21,4
89,21,5
90,22,1
91,22,2
92,22,3
93,22,4
94,22,5
95,23,1
96,23,2
97,23,3
98,23,4
99,23,5
100,24,1
101,24,2
102,24,3
103,24,4
104,24,5
105,25,1
106,25,2
107,25,3
108,25,4
109,25,5
110,26,1
111,26,2
112,26,3
113,26,4
114,26,5
115,27,1
116,27,2
117,27,3
118,27,4
119,27,5
120,28,1
121,28,2
122,28,3
123,28,4
124,28,5
125,28,8
126,29,1
127,29,2
128,29,3
129,29,4
130,29,5
131,29,8
132,30,1
133,30,2
134,30,3
135,30,4
136,30,5
137,31,1
138,31,2
139,31,3
140,31,4
141,31,5
142,32,1
143,32,2
144,32,3
145,32,4
146,32,5
147,33,1
148,33,2
149,33,3
150,33,4
151,33,5
152,34,1
153,34,2
154,34,3
155,34,4
156,34,5
157,35,1
158,35,2
159,35,3
160,35,4
161,35,5
162,36,1
163,36,2
164,36,3
165,36,4
166,36,5
