id,item_id,local_language_id,name
1,1,1,マスターボール
2,1,3,마스터볼
3,1,5,"Master Ball"
4,1,6,Meisterball
5,1,7,"Master Ball"
6,1,8,"Master Ball"
7,1,9,"Master Ball"
8,2,1,ハイパーボール
9,2,3,하이퍼볼
10,2,5,"Hyper Ball"
11,2,6,Hyperball
12,2,7,"Ultra Ball"
13,2,8,"Ultra Ball"
14,2,9,"Ultra Ball"
15,3,1,スーパーボール
16,3,3,수퍼볼
17,3,5,"Super Ball"
18,3,6,Superball
19,3,7,"Super Ball"
20,3,8,"Mega Ball"
21,3,9,"Great Ball"
22,4,1,モンスターボール
23,4,3,몬스터볼
24,4,5,"Poké Ball"
25,4,6,Pokéball
26,4,7,"Poké Ball"
27,4,8,"Poké Ball"
28,4,9,"Poké Ball"
29,5,1,サファリボール
30,5,3,사파리볼
31,5,5,"Safari Ball"
32,5,6,Safariball
33,5,7,"Safari Ball"
34,5,8,"Safari Ball"
35,5,9,"Safari Ball"
36,6,1,ネットボール
37,6,3,넷트볼
38,6,5,"Filet Ball"
39,6,6,Netzball
40,6,7,"Malla Ball"
41,6,8,"Rete Ball"
42,6,9,"Net Ball"
43,7,1,ダイブボール
44,7,3,다이브볼
45,7,5,"Scuba Ball"
46,7,6,Tauchball
47,7,7,"Buceo Ball"
48,7,8,"Sub Ball"
49,7,9,"Dive Ball"
50,8,1,ネストボール
51,8,3,네스트볼
52,8,5,"Faiblo Ball"
53,8,6,Nestball
54,8,7,"Nido Ball"
55,8,8,"Minor Ball"
56,8,9,"Nest Ball"
57,9,1,リピートボール
58,9,3,리피드볼
59,9,5,"Bis Ball"
60,9,6,Wiederball
61,9,7,"Acopio Ball"
62,9,8,"Bis Ball"
63,9,9,"Repeat Ball"
64,10,1,タイマーボール
65,10,3,타이마볼
66,10,5,"Chrono Ball"
67,10,6,Timerball
68,10,7,"Turno Ball"
69,10,8,"Timer Ball"
70,10,9,"Timer Ball"
71,11,1,ゴージャスボール
72,11,3,럭셔리볼
73,11,5,"Luxe Ball"
74,11,6,Luxusball
75,11,7,"Lujo Ball"
76,11,8,"Chic Ball"
77,11,9,"Luxury Ball"
78,12,1,プレミアボール
79,12,3,프레미어볼
80,12,5,"Honor Ball"
81,12,6,Premierball
82,12,7,"Honor Ball"
83,12,8,"Premier Ball"
84,12,9,"Premier Ball"
85,13,1,ダークボール
86,13,3,다크볼
87,13,5,"Sombre Ball"
88,13,6,Finsterball
89,13,7,"Ocaso Ball"
90,13,8,"Scuro Ball"
91,13,9,"Dusk Ball"
92,14,1,ヒールボール
93,14,3,힐볼
94,14,5,"Soin Ball"
95,14,6,Heilball
96,14,7,"Sana Ball"
97,14,8,"Cura Ball"
98,14,9,"Heal Ball"
99,15,1,クイックボール
100,15,3,퀵볼
101,15,5,"Rapide Ball"
102,15,6,Flottball
103,15,7,"Veloz Ball"
104,15,8,"Velox Ball"
105,15,9,"Quick Ball"
106,16,1,プレシャスボール
107,16,3,프레셔스볼
108,16,5,"Mémoire Ball"
109,16,6,Jubelball
