id,location_id,local_language_id,name
1,1,5,Joliberges
2,1,9,"Canalave City"
3,2,5,Vestigion
4,2,9,"Eterna City"
5,3,5,Verchamps
6,3,9,"Pastoria City"
7,4,5,Rivamar
8,4,9,"Sunyshore City"
9,5,5,"Ligue Pokémon"
10,5,9,"Pokémon League"
11,6,5,"Mine Charbourg"
12,6,9,"Oreburgh Mine"
13,7,5,"Les Eoliennes"
14,7,9,"Valley Windworks"
15,8,5,"Forêt Vestigion"
16,8,9,"Eterna Forest"
17,9,5,"Forge Fuego"
18,9,9,"Fuego Ironworks"
19,10,5,"Mont Couronné"
20,10,9,"Mt. Coronet"
21,11,5,"Grand Marais"
22,11,9,"Great Marsh"
23,12,5,"Ruines Bonville"
24,12,9,"Solaceon Ruins"
25,13,5,"Route Victoire"
26,13,9,"Victory Road"
27,14,5,"Chemin Rocheux"
28,14,9,"Ravaged Path"
29,15,5,"Entrée Charbourg"
30,15,9,"Oreburgh Gate"
31,16,5,"Mont Abrupt"
32,16,9,"Stark Mountain"
33,17,5,"Chemin Source"
34,17,9,"Spring Path"
35,18,5,"Grotte Retour"
36,18,9,"Turnback Cave"
37,19,5,"Temple Frimapic"
38,19,9,"Snowpoint Temple"
39,20,5,"Grotte Revèche"
40,20,9,"Wayward Cave"
41,22,5,"Grotte Ruinem."
42,22,9,"Ruin Maniac Cave"
43,23,5,"Jardin Trophée"
44,23,9,"Trophy Garden"
45,24,5,"Ile de Fer"
46,24,9,"Iron Island"
47,25,5,"Vieux Château"
48,25,9,"Old Chateau"
49,26,5,"Lac Vérité"
50,26,9,"Lake Verity"
51,27,5,"Lac Courage"
52,27,9,"Lake Valor"
53,28,5,"Lac Savoir"
54,28,9,"Lake Acuity"
55,29,5,"Rive Lac Courage"
56,29,9,"Valor Lakefront"
57,30,5,"Rive Lac Savoir"
58,30,9,"Acuity Lakefront"
59,31,5,"Route 201"
60,31,9,"Route 201"
61,32,5,"Route 202"
62,32,9,"Route 202"
63,33,5,"Route 203"
64,33,9,"Route 203"
65,34,5,"Route 204"
66,34,9,"Route 204"
67,35,5,"Route 205"
68,35,9,"Route 205"
69,36,5,"Route 206"
70,36,9,"Route 206"
71,37,5,"Route 207"
72,37,9,"Route 207"
73,38,5,"Route 208"
74,38,9,"Route 208"
75,39,5,"Route 209"
76,39,9,"Route 209"
77,40,5,"Tour Perdue"
78,40,9,"Lost Tower"
79,41,5,"Route 210"
80,41,9,"Route 210"
81,42,5,"Route 211"
82,42,9,"Route 211"
83,43,5,"Route 212"
84,43,9,"Route 212"
85,44,5,"Route 213"
86,44,9,"Route 213"
87,45,5,"Route 214"
88,45,9,"Route 214"
89,46,5,"Route 215"
