id,machine_number,version_group_id,item_id,move_id
1,1,1,305,5
2,1,2,305,5
3,1,3,305,223
4,1,4,305,223
5,1,5,305,264
6,1,6,305,264
7,1,7,305,264
8,1,8,305,264
9,1,9,305,264
10,1,10,305,264
11,1,11,305,468
12,1,12,305,264
13,1,13,305,264
14,1,14,305,468
15,1,15,305,468
16,1,16,305,468
17,2,1,306,13
18,2,2,306,13
19,2,3,306,29
20,2,4,306,29
21,2,5,306,337
22,2,6,306,337
23,2,7,306,337
24,2,8,306,337
25,2,9,306,337
26,2,10,306,337
27,2,11,306,337
28,2,12,306,337
29,2,13,306,337
30,2,14,306,337
31,2,15,306,337
32,2,16,306,337
33,3,1,307,14
34,3,2,307,14
35,3,3,307,174
36,3,4,307,174
37,3,5,307,352
38,3,6,307,352
39,3,7,307,352
40,3,8,307,352
41,3,9,307,352
42,3,10,307,352
43,3,11,307,473
44,3,12,307,352
45,3,13,307,352
46,3,14,307,473
47,3,15,307,473
48,3,16,307,473
49,4,1,308,18
50,4,2,308,18
51,4,3,308,205
52,4,4,308,205
53,4,5,308,347
54,4,6,308,347
55,4,7,308,347
56,4,8,308,347
57,4,9,308,347
58,4,10,308,347
59,4,11,308,347
60,4,12,308,347
61,4,13,308,347
62,4,14,308,347
63,4,15,308,347
64,4,16,308,347
65,5,1,309,25
66,5,2,309,25
67,5,3,309,46
68,5,4,309,46
69,5,5,309,46
70,5,6,309,46
71,5,7,309,46
72,5,8,309,46
73,5,9,309,46
74,5,10,309,46
75,5,11,309,46
76,5,12,309,46
77,5,13,309,46
78,5,14,309,46
79,5,15,309,46
80,5,16,309,46
81,6,1,310,92
82,6,2,310,92
83,6,3,310,92
84,6,4,310,92
85,6,5,310,92
86,6,6,310,92
87,6,7,310,92
88,6,8,310,92
89,6,9,310,92
90,6,10,310,92
91,6,11,310,92
92,6,12,310,92
93,6,13,310,92
94,6,14,310,92
95,6,15,310,92
96,6,16,310,92
97,7,1,311,32
98,7,2,311,32
99,7,3,311,192
100,7,4,311,192
101,7,5,311,258
102,7,6,311,258
103,7,7,311,258
104,7,8,311,258
105,7,9,311,258
106,7,10,311,258
107,7,11,311,258
108,7,12,311,258
109,7,13,311,258
110,7,14,311,258
111,7,15,311,258
112,7,16,311,258
113,8,1,312,34
114,8,2,312,34
115,8,3,312,249
116,8,4,312,249
117,8,5,312,339
118,8,6,312,339
119,8,7,312,339
120,8,8,312,339
121,8,9,312,339
122,8,10,312,339
123,8,11,312,339
124,8,12,312,339
125,8,13,312,339
126,8,14,312,339
127,8,15,312,339
128,8,16,312,339
129,9,1,313,36
130,9,2,313,36
131,9,3,313,244
132,9,4,313,244
133,9,5,313,331
134,9,6,313,331
135,9,7,313,331
136,9,8,313,331
137,9,9,313,331
138,9,10,313,331
139,9,11,313,474
140,9,12,313,331
141,9,13,313,331
142,9,14,313,474
143,9,15,313,474
144,9,16,313,474
145,10,1,314,38
146,10,2,314,38
147,10,3,314,237
148,10,4,314,237
149,10,5,314,237
150,10,6,314,237
151,10,7,314,237
152,10,8,314,237
153,10,9,314,237
154,10,10,314,237
155,10,11,314,237
156,10,12,314,237
157,10,13,314,237
158,10,14,314,237
159,10,15,314,237
160,10,16,314,237
161,11,1,315,61
162,11,2,315,61
163,11,3,315,241
164,11,4,315,241
165,11,5,315,241
166,11,6,315,241
167,11,7,315,241
168,11,8,315,241
169,11,9,315,241
170,11,10,315,241
171,11,11,315,241
172,11,12,315,241
173,11,13,315,241
174,11,14,315,241
175,11,15,315,241
176,11,16,315,241
177,12,1,316,55
178,12,2,316,55
179,12,3,316,230
180,12,4,316,230
181,12,5,316,269
182,12,6,316,269
183,12,7,316,269
184,12,8,316,269
185,12,9,316,269
186,12,10,316,269
187,12,11,316,269
188,12,12,316,269
189,12,13,316,269
190,12,14,316,269
191,12,15,316,269
192,12,16,316,269
193,13,1,317,58
194,13,2,317,58
195,13,3,317,173
196,13,4,317,173
197,13,5,317,58
198,13,6,317,58
199,13,7,317,58
200,13,8,317,58
201,13,9,317,58
202,13,10,317,58
203,13,11,317,58
204,13,12,317,58
205,13,13,317,58
206,13,14,317,58
207,13,15,317,58
208,13,16,317,58
209,14,1,318,59
210,14,2,318,59
211,14,3,318,59
212,14,4,318,59
213,14,5,318,59
214,14,6,318,59
215,14,7,318,59
216,14,8,318,59
217,14,9,318,59
218,14,10,318,59
219,14,11,318,59
220,14,12,318,59
221,14,13,318,59
222,14,14,318,59
223,14,15,318,59
224,14,16,318,59
225,15,1,319,63
226,15,2,319,63
227,15,3,319,63
228,15,4,319,63
229,15,5,319,63
230,15,6,319,63
231,15,7,319,63
232,15,8,319,63
233,15,9,319,63
234,15,10,319,63
235,15,11,319,63
236,15,12,319,63
237,15,13,319,63
238,15,14,319,63
239,15,15,319,63
240,15,16,319,63
241,16,1,320,6
242,16,2,320,6
243,16,3,320,196
244,16,4,320,196
245,16,5,320,113
246,16,6,320,113
247,16,7,320,113
248,16,8,320,113
249,16,9,320,113
250,16,10,320,113
251,16,11,320,113
252,16,12,320,113
253,16,13,320,113
254,16,14,320,113
255,16,15,320,113
256,16,16,320,113
257,17,1,321,66
258,17,2,321,66
259,17,3,321,182
260,17,4,321,182
261,17,5,321,182
262,17,6,321,182
263,17,7,321,182
264,17,8,321,182
265,17,9,321,182
266,17,10,321,182
267,17,11,321,182
268,17,12,321,182
269,17,13,321,182
270,17,14,321,182
271,17,15,321,182
272,17,16,321,182
273,18,1,322,68
274,18,2,322,68
275,18,3,322,240
276,18,4,322,240
277,18,5,322,240
