id,move_id,move_flag_id
1,1,1
2,1,4
3,1,7
4,2,1
5,2,4
6,2,7
7,3,1
8,3,4
9,3,7
10,4,1
11,4,4
12,4,7
13,4,8
14,5,1
15,5,4
16,5,7
17,5,8
18,6,4
19,6,7
20,7,1
21,7,4
22,7,7
23,7,8
24,8,1
25,8,4
26,8,7
27,8,8
28,9,1
29,9,4
30,9,7
31,9,8
32,10,1
33,10,4
34,10,7
35,11,1
36,11,4
37,11,7
38,12,1
39,12,4
40,12,7
41,13,2
42,13,4
43,13,7
44,14,6
45,15,1
46,15,4
47,15,7
48,16,4
49,16,7
50,16,12
51,17,1
52,17,4
53,17,7
54,17,12
55,18,5
56,18,7
57,18,14
58,19,1
59,19,2
60,19,4
61,19,7
62,19,10
63,19,12
64,20,1
65,20,4
66,20,7
67,21,1
68,21,4
69,21,7
70,21,20
71,22,1
72,22,4
73,22,7
74,23,1
75,23,4
76,23,7
77,23,20
78,24,1
79,24,4
80,24,7
81,25,1
82,25,4
83,25,7
84,26,1
85,26,4
86,26,7
87,26,10
88,27,1
89,27,4
90,27,7
91,28,4
92,28,5
93,28,7
94,29,1
95,29,4
96,29,7
97,30,1
98,30,4
99,30,7
100,31,1
101,31,4
102,31,7
103,32,1
104,32,4
105,32,7
106,33,1
107,33,4
108,33,7
109,34,1
110,34,4
111,34,7
112,34,20
113,35,1
114,35,4
115,35,7
116,36,1
117,36,4
118,36,7
119,37,1
120,37,4
121,37,7
122,38,1
123,38,4
124,38,7
125,39,4
126,39,5
127,39,7
128,40,4
129,40,7
130,41,4
131,41,7
132,42,4
133,42,7
134,43,4
135,43,5
136,43,7
137,44,1
138,44,4
139,44,7
140,44,16
141,45,4
142,45,5
143,45,7
144,45,9
145,45,14
146,46,5
147,46,7
148,46,9
149,46,14
150,47,4
151,47,5
152,47,7
153,47,9
154,47,14
155,48,4
156,48,5
157,48,7
158,48,9
159,48,14
160,49,4
161,49,7
162,50,4
163,50,5
164,50,7
165,50,14
166,51,4
167,51,7
168,52,4
169,52,7
170,53,4
171,53,7
172,54,6
173,55,4
174,55,7
175,56,4
176,56,7
177,57,4
178,57,7
179,57,20
180,58,4
181,58,7
182,59,4
183,59,7
184,60,4
185,60,7
186,61,4
187,61,7
188,62,4
189,62,7
190,63,3
191,63,4
192,63,7
193,64,1
194,64,4
195,64,7
196,64,12
197,65,1
198,65,4
199,65,7
200,65,12
201,66,1
202,66,4
203,66,7
204,67,1
205,67,4
206,67,7
207,68,1
208,68,4
209,69,1
210,69,4
211,69,7
212,69,20
213,70,1
214,70,4
215,70,7
216,71,4
217,71,7
218,71,13
219,72,4
220,72,7
221,72,13
222,73,4
223,73,5
224,73,7
225,74,6
226,75,4
227,75,7
228,76,2
229,76,4
230,76,7
231,77,4
232,77,5
233,77,7
234,77,15
235,78,4
236,78,5
237,78,7
238,78,15
239,79,4
240,79,5
241,79,7
242,79,15
243,80,1
244,80,4
245,80,7
246,81,4
247,81,5
248,81,7
249,82,4
250,82,7
251,83,4
252,83,7
253,84,4
254,84,7
255,85,4
256,85,7
257,86,4
258,86,5
259,86,7
260,87,4
261,87,7
262,88,4
263,88,7
264,89,4
265,89,7
266,89,20
267,90,4
268,90,7
269,90,20
270,91,1
271,91,2
272,91,4
273,91,7
274,91,20
275,92,4
276,92,5
277,92,7
278,93,4
279,93,7
280,94,4
281,94,7
282,95,4
283,95,5
284,95,7
285,96,6
286,97,6
287,98,1
288,98,4
289,98,7
290,99,1
291,99,4
292,99,7
293,101,4
294,101,7
295,102,4
296,102,14
297,103,4
298,103,5
299,103,7
300,103,9
301,103,14
302,104,6
303,105,6
304,105,13
305,106,6
306,107,6
307,108,4
308,108,5
309,108,7
310,109,4
311,109,5
312,109,7
313,110,6
314,111,6
315,112,6
316,113,6
317,114,14
318,115,6
319,116,6
320,117,1
321,117,4
322,120,4
323,120,7
324,121,4
325,121,7
326,121,18
327,122,1
328,122,4
329,122,7
330,123,4
331,123,7
332,124,4
333,124,7
334,125,4
335,125,7
336,126,4
337,126,7
338,127,1
339,127,4
340,127,7
341,128,1
342,128,4
343,128,7
344,129,4
345,129,7
346,130,1
347,130,2
348,130,4
349,130,7
350,131,4
351,131,7
352,132,1
353,132,4
354,132,7
355,133,6
356,134,4
357,134,5
358,134,7
359,135,6
360,135,13
361,136,1
362,136,4
363,136,7
364,136,10
365,137,4
366,137,5
367,137,7
368,138,4
369,138,7
370,138,13
371,139,4
372,139,5
373,139,7
374,140,4
375,140,7
376,140,18
377,141,1
378,141,4
379,141,7
380,141,13
381,142,4
382,142,5
383,142,7
384,143,2
385,143,4
386,143,7
387,143,12
388,145,4
389,145,7
390,146,1
391,146,4
392,146,7
393,146,8
394,147,4
395,147,5
396,147,7
397,147,15
398,148,4
399,148,5
400,148,7
401,149,4
402,149,7
403,150,10
404,151,6
405,152,1
406,152,4
407,152,7
408,153,4
409,153,7
410,154,1
411,154,4
412,154,7
413,155,4
414,155,7
415,156,6
416,156,13
417,157,4
418,157,7
419,158,1
420,158,4
421,158,7
422,159,6
423,160,6
424,161,4
425,161,7
426,162,1
427,162,4
428,162,7
429,163,1
430,163,4
431,163,7
432,164,6
433,164,20
434,165,1
435,165,4
436,166,14
437,167,1
438,167,4
439,167,7
440,168,1
441,168,4
442,168,7
443,169,4
444,169,5
445,169,7
446,170,4
447,170,7
448,171,4
449,171,7
450,172,1
451,172,4
452,172,7
453,172,11
454,173,4
455,173,7
456,173,9
457,173,14
458,174,14
459,175,1
460,175,4
461,175,7
462,176,14
463,177,4
464,177,7
465,177,12
466,178,4
467,178,5
468,178,7
469,178,15
470,179,1
471,179,4
472,179,7
473,180,4
474,180,5
475,180,7
476,180,14
477,181,4
478,181,7
479,183,1
480,183,4
481,183,7
482,183,8
483,184,4
484,184,5
485,184,7
486,185,1
487,185,4
488,185,7
489,186,4
490,186,5
491,186,7
492,187,6
493,188,4
494,188,7
495,188,18
496,189,4
497,189,7
498,190,4
499,190,7
500,190,18
501,191,5
502,191,20
503,192,4
504,192,7
505,193,4
506,193,5
507,193,7
508,193,14
509,194,14
510,195,9
511,195,12
512,195,14
513,196,4
514,196,7
515,198,4
516,198,7
517,199,4
518,199,7
519,200,1
520,200,4
521,200,7
522,202,4
523,202,7
524,202,13
525,204,4
526,204,5
527,204,7
528,205,1
529,205,4
530,205,7
531,206,1
532,206,4
533,206,7
534,207,4
535,207,5
536,207,7
537,208,6
538,208,13
539,209,1
540,209,4
541,209,7
542,210,1
543,210,4
544,210,7
545,211,1
546,211,4
547,211,7
548,212,5
549,212,7
550,213,4
551,213,5
552,213,7
553,213,14
554,213,19
555,215,6
556,215,9
557,215,12
558,215,14
559,216,1
560,216,4
561,216,7
562,217,4
563,217,7
564,218,1
565,218,4
566,218,7
567,219,6
568,220,4
569,220,7
570,221,4
571,221,7
572,221,11
573,222,4
574,222,7
575,222,20
576,223,1
577,223,4
578,223,7
579,223,8
580,224,1
581,224,4
582,224,7
583,225,4
584,225,7
585,227,4
586,227,5
587,227,7
588,227,14
589,227,19
590,228,1
591,228,4
592,228,7
593,229,1
594,229,4
595,229,7
596,230,4
597,230,5
598,230,7
599,231,1
600,231,4
601,231,7
602,232,1
603,232,4
604,232,7
605,233,1
606,233,4
607,233,7
608,234,6
609,234,13
610,235,6
611,235,13
612,236,6
613,236,13
614,237,4
615,237,7
616,238,1
617,238,4
618,238,7
619,239,4
620,239,7
621,242,1
622,242,4
623,242,7
624,242,16
625,243,4
626,244,14
627,245,1
628,245,4
629,245,7
630,246,4
631,246,7
632,247,4
633,247,7
634,247,18
635,249,1
636,249,4
637,249,7
638,250,4
639,250,7
640,250,19
641,251,4
642,251,7
643,252,1
644,252,4
645,252,7
646,253,4
647,253,7
648,253,9
649,253,14
650,254,6
651,255,4
652,256,6
653,256,13
654,257,4
655,257,7
656,259,4
657,259,5
658,259,7
659,259,14
660,259,19
661,260,4
662,260,5
663,260,7
664,261,4
665,261,5
666,261,7
667,262,4
668,262,7
669,263,1
670,263,4
671,263,7
672,264,1
673,264,4
674,264,8
675,265,1
676,265,4
677,265,7
678,268,6
679,269,4
680,269,5
681,269,7
682,269,14
683,269,19
684,270,14
685,271,4
686,271,7
687,272,14
688,273,6
689,273,13
690,275,6
691,275,20
692,276,1
693,276,4
694,276,7
695,278,6
696,279,1
697,279,4
698,279,7
699,280,1
700,280,4
701,280,7
702,281,4
703,281,5
704,281,7
705,282,1
706,282,4
707,282,7
708,283,1
709,283,4
710,283,7
711,284,4
712,284,7
713,285,4
714,285,7
715,285,14
716,286,6
717,286,14
718,287,6
719,288,14
720,289,14
721,290,4
722,290,7
723,291,1
724,291,2
725,291,4
726,291,7
727,291,20
728,292,1
729,292,4
730,292,7
731,293,6
732,294,6
733,295,4
734,295,7
735,296,4
736,296,7
737,297,4
738,297,5
739,297,7
740,298,4
741,298,7
742,299,1
743,299,4
744,299,7
745,300,20
746,301,1
747,301,4
748,301,7
749,301,18
750,302,1
751,302,4
752,302,7
753,303,6
754,303,13
755,304,4
756,304,7
757,304,9
758,304,14
759,305,1
760,305,4
761,305,7
762,305,16
763,306,1
764,306,4
765,306,7
766,307,3
767,307,4
768,307,7
769,308,3
770,308,4
771,308,7
772,309,1
773,309,4
774,309,7
775,309,8
776,310,1
777,310,4
778,310,7
779,311,4
780,311,7
781,311,18
782,312,6
783,312,12
784,313,4
785,313,5
786,313,7
787,314,4
788,314,7
789,315,4
790,315,7
791,316,4
792,316,5
793,316,7
794,316,14
795,317,4
796,317,7
797,318,4
798,318,7
799,319,4
800,319,5
801,319,7
802,319,9
803,319,14
804,320,4
805,320,5
806,320,7
807,320,9
808,320,14
809,321,4
810,321,5
811,321,7
812,322,6
813,323,4
814,323,7
815,324,4
816,324,7
817,325,1
818,325,4
819,325,7
820,325,8
821,326,4
822,326,7
823,327,1
824,327,4
825,327,7
826,327,8
827,328,4
828,328,7
829,329,4
830,329,7
831,330,4
832,330,7
833,330,20
834,331,4
835,331,7
836,331,18
837,332,1
838,332,4
839,332,7
840,332,12
841,333,4
842,333,7
843,334,6
844,335,5
845,335,7
846,336,6
847,337,1
848,337,4
849,337,7
850,338,3
851,338,4
852,338,7
853,338,20
854,339,6
855,340,1
856,340,2
857,340,4
858,340,7
859,340,10
860,340,12
861,341,4
862,341,7
863,342,1
864,342,4
865,342,7
866,343,1
867,343,4
868,343,7
869,344,1
870,344,4
871,344,7
872,345,4
873,345,7
874,346,20
875,347,6
876,348,1
877,348,4
878,348,7
879,349,6
880,350,4
881,350,7
882,351,4
883,351,7
884,352,4
885,352,7
886,352,12
887,352,17
888,354,4
889,354,7
890,355,6
891,355,13
892,356,20
893,357,4
894,357,5
895,357,7
896,357,14
897,358,1
898,358,4
899,358,7
900,359,1
901,359,4
902,359,7
903,359,8
904,360,1
905,360,4
906,360,7
907,360,18
908,361,6
909,361,13
910,362,4
911,362,7
912,363,4
913,363,7
914,364,7
915,365,1
916,365,4
917,365,7
918,365,12
919,366,6
920,368,4
921,368,7
922,369,1
923,369,4
924,369,7
925,370,1
926,370,4
927,370,7
928,371,1
929,371,4
930,371,7
931,372,1
932,372,4
933,372,7
934,373,4
935,373,5
936,373,7
937,374,4
938,374,7
