id,move_id,version_group_id,language_id,flavor_text
1,1,3,9,"Pounds with fore­
legs or tail."
2,1,4,9,"Pounds with fore­
legs or tail."
3,1,5,9,"Pounds the foe with
forelegs or tail."
4,1,6,9,"Pounds the foe with
forelegs or tail."
5,1,7,9,"A physical attack
delivered with a
long tail or a
foreleg, etc."
6,1,8,9,"The foe is physically
pounded with a long
tail or a foreleg,
etc.
"
7,1,9,9,"The foe is physically
pounded with a long
tail or a foreleg,
etc.
"
8,1,10,9,"The foe is physically
pounded with a long
tail or a foreleg,
etc.
"
9,1,11,5,"Écrase l’ennemi avec les pattes
avant, la queue, etc."
10,1,11,9,"The target is physically pounded with
a long tail or a foreleg, etc."
11,1,14,9,"The target is physically pounded with
a long tail or a foreleg, etc."
12,1,15,1,"ながい　しっぽや　てなどを　つかって
あいてを　はたいて　こうげきする。
"
13,1,15,3,"긴 꼬리나 손 등을 사용하여
상대를 때려서 공격한다."
14,1,15,5,"Écrase l’ennemi avec les pattes avant ou la queue,
par exemple."
15,1,15,6,"Ein Hieb mit den Vorderbeinen oder dem Schweif."
16,1,15,7,"Golpea con las patas o la cola."
17,1,15,8,"Colpisce il bersaglio con la coda o le zampe
anteriori."
18,1,15,9,"The target is physically pounded with
a long tail, a foreleg, or the like."
19,1,15,11,"長い　しっぽや　手などを　使って
相手を　はたいて　攻撃する。
"
20,1,16,1,"ながい　しっぽや　てなどを　つかって
あいてを　はたいて　こうげきする。
"
21,1,16,3,"긴 꼬리나 손 등을 사용하여
상대를 때려서 공격한다."
22,1,16,5,"Écrase l’ennemi avec les pattes avant ou la queue,
par exemple."
23,1,16,6,"Ein Hieb mit den Vorderbeinen oder dem Schweif."
24,1,16,7,"Golpea con las patas o la cola."
25,1,16,8,"Colpisce il bersaglio con la coda o le zampe
anteriori."
26,1,16,9,"The target is physically pounded with
a long tail, a foreleg, or the like."
27,1,16,11,"長い　しっぽや　手などを　使って
相手を　はたいて　攻撃する。
"
28,2,3,9,"Has a high criti­
cal hit ratio."
29,2,4,9,"Has a high criti­
cal hit ratio."
30,2,5,9,"A chopping attack with a
high critical-hit ratio."
31,2,6,9,"A chopping attack with a
high critical-hit ratio."
32,2,7,9,"The foe is attacked
with a sharp chop.
It has a high
critical-hit ratio."
33,2,8,9,"The foe is attacked
with a sharp chop.
It has a high
critical-hit ratio.
"
34,2,9,9,"The foe is attacked
with a sharp chop.
It has a high
critical-hit ratio.
"
35,2,10,9,"The foe is attacked
with a sharp chop.
It has a high
critical-hit ratio.
"
36,2,11,5,"L’ennemi est tranché violemment.
Taux de critiques élevé."
37,2,11,9,"The target is attacked with a sharp chop.
Critical hits land more easily."
38,2,14,9,"The target is attacked with a sharp chop.
Critical hits land more easily."
