id,move_id,meta_category_id,meta_ailment_id,min_hits,max_hits,min_turns,max_turns,drain,healing,crit_rate,ailment_chance,flinch_chance,stat_chance
1,1,0,0,,,,,0,0,0,0,0,0
2,2,0,0,,,,,0,0,1,0,0,0
3,3,0,0,2,5,,,0,0,0,0,0,0
4,4,0,0,2,5,,,0,0,0,0,0,0
5,5,0,0,,,,,0,0,0,0,0,0
6,6,0,0,,,,,0,0,0,0,0,0
7,7,4,4,,,,,0,0,0,10,0,0
8,8,4,3,,,,,0,0,0,10,0,0
9,9,4,1,,,,,0,0,0,10,0,0
10,10,0,0,,,,,0,0,0,0,0,0
11,11,0,0,,,,,0,0,0,0,0,0
12,12,9,0,,,,,0,0,0,0,0,0
13,13,0,0,,,,,0,0,1,0,0,0
14,14,2,0,,,,,0,0,0,0,0,0
15,15,0,0,,,,,0,0,0,0,0,0
16,16,0,0,,,,,0,0,0,0,0,0
17,17,0,0,,,,,0,0,0,0,0,0
18,18,12,0,,,,,0,0,0,0,0,0
19,19,0,0,,,,,0,0,0,0,0,0
20,20,4,8,,,5,6,0,0,0,100,0,0
21,21,0,0,,,,,0,0,0,0,0,0
22,22,0,0,,,,,0,0,0,0,0,0
23,23,0,0,,,,,0,0,0,0,30,0
24,24,0,0,2,2,,,0,0,0,0,0,0
25,25,0,0,,,,,0,0,0,0,0,0
26,26,0,0,,,,,0,0,0,0,0,0
27,27,0,0,,,,,0,0,0,0,30,0
28,28,2,0,,,,,0,0,0,0,0,0
29,29,0,0,,,,,0,0,0,0,30,0
30,30,0,0,,,,,0,0,0,0,0,0
31,31,0,0,2,5,,,0,0,0,0,0,0
32,32,9,0,,,,,0,0,0,0,0,0
33,33,0,0,,,,,0,0,0,0,0,0
34,34,4,1,,,,,0,0,0,30,0,0
35,35,4,8,,,5,6,0,0,0,100,0,0
36,36,0,0,,,,,-25,0,0,0,0,0
37,37,0,0,,,,,0,0,0,0,0,0
38,38,0,0,,,,,-33,0,0,0,0,0
39,39,2,0,,,,,0,0,0,0,0,0
40,40,4,5,,,,,0,0,0,30,0,0
41,41,4,5,2,2,,,0,0,0,20,0,0
42,42,0,0,2,5,,,0,0,0,0,0,0
43,43,2,0,,,,,0,0,0,0,0,100
44,44,0,0,,,,,0,0,0,0,30,0
45,45,2,0,,,,,0,0,0,0,0,0
46,46,12,0,,,,,0,0,0,0,0,0
47,47,1,2,,,2,4,0,0,0,0,0,0
48,48,1,6,,,2,5,0,0,0,0,0,0
49,49,0,0,,,,,0,0,0,0,0,0
50,50,13,13,,,4,4,0,0,0,0,0,0
51,51,6,0,,,,,0,0,0,0,0,10
52,52,4,4,,,,,0,0,0,10,0,0
53,53,4,4,,,,,0,0,0,10,0,0
54,54,11,0,,,,,0,0,0,0,0,0
55,55,0,0,,,,,0,0,0,0,0,0
56,56,0,0,,,,,0,0,0,0,0,0
57,57,0,0,,,,,0,0,0,0,0,0
58,58,4,3,,,,,0,0,0,10,0,0
59,59,4,3,,,,,0,0,0,10,0,0
60,60,4,6,,,2,5,0,0,0,10,0,0
61,61,6,0,,,,,0,0,0,0,0,10
62,62,6,0,,,,,0,0,0,0,0,10
63,63,0,0,,,,,0,0,0,0,0,0
64,64,0,0,,,,,0,0,0,0,0,0
65,65,0,0,,,,,0,0,0,0,0,0
66,66,0,0,,,,,-25,0,0,0,0,0
67,67,0,0,,,,,0,0,0,0,0,0
68,68,0,0,,,,,0,0,0,0,0,0
69,69,0,0,,,,,0,0,0,0,0,0
70,70,0,0,,,,,0,0,0,0,0,0
71,71,8,0,,,,,50,0,0,0,0,0
72,72,8,0,,,,,50,0,0,0,0,0
73,73,1,18,,,,,0,0,0,0,0,0
74,74,2,0,,,,,0,0,0,0,0,0
75,75,0,0,,,,,0,0,1,0,0,0
76,76,0,0,,,,,0,0,0,0,0,0
77,77,1,5,,,,,0,0,0,0,0,0
78,78,1,1,,,,,0,0,0,0,0,0
79,79,1,2,,,2,4,0,0,0,0,0,0
80,80,0,0,,,,,0,0,0,0,0,0
81,81,2,0,,,,,0,0,0,0,0,0
82,82,0,0,,,,,0,0,0,0,0,0
83,83,4,8,,,5,6,0,0,0,100,0,0
84,84,4,1,,,,,0,0,0,10,0,0
85,85,4,1,,,,,0,0,0,10,0,0
86,86,1,1,,,,,0,0,0,0,0,0
87,87,4,1,,,,,0,0,0,30,0,0
88,88,0,0,,,,,0,0,0,0,0,0
89,89,0,0,,,,,0,0,0,0,0,0
90,90,9,0,,,,,0,0,0,0,0,0
91,91,0,0,,,,,0,0,0,0,0,0
92,92,1,5,,,15,15,0,0,0,0,0,0
93,93,4,6,,,2,5,0,0,0,10,0,0
94,94,6,0,,,,,0,0,0,0,0,10
95,95,1,2,,,2,4,0,0,0,0,0,0
96,96,2,0,,,,,0,0,0,0,0,0
97,97,2,0,,,,,0,0,0,0,0,0
98,98,0,0,,,,,0,0,0,0,0,0
99,99,0,0,,,,,0,0,0,0,0,0
100,100,13,0,,,,,0,0,0,0,0,0
101,101,0,0,,,,,0,0,0,0,0,0
102,102,13,0,,,,,0,0,0,0,0,0
103,103,2,0,,,,,0,0,0,0,0,0
104,104,2,0,,,,,0,0,0,0,0,0
105,105,3,0,,,,,0,50,0,0,0,0
106,106,2,0,,,,,0,0,0,0,0,0
107,107,2,0,,,,,0,0,0,0,0,0
108,108,2,0,,,,,0,0,0,0,0,0
109,109,1,6,,,2,5,0,0,0,0,0,0
110,110,2,0,,,,,0,0,0,0,0,0
111,111,2,0,,,,,0,0,0,0,0,0
112,112,2,0,,,,,0,0,0,0,0,0
113,113,11,0,,,,,0,0,0,0,0,0
114,114,10,0,,,,,0,0,0,0,0,0
115,115,11,0,,,,,0,0,0,0,0,0
116,116,13,0,,,,,0,0,0,0,0,0
117,117,0,0,,,,,0,0,0,0,0,0
118,118,13,0,,,,,0,0,0,0,0,0
119,119,13,0,,,,,0,0,0,0,0,0
120,120,0,0,,,,,0,0,0,0,0,0
121,121,0,0,,,,,0,0,0,0,0,0
122,122,4,1,,,,,0,0,0,30,0,0
123,123,4,5,,,,,0,0,0,40,0,0
124,124,4,5,,,,,0,0,0,30,0,0
125,125,0,0,,,,,0,0,0,0,10,0
126,126,4,4,,,,,0,0,0,10,0,0
127,127,0,0,,,,,0,0,0,0,20,0
128,128,4,8,,,5,6,0,0,0,100,0,0
