id,nature_id,pokeathlon_stat_id,max_change
1,1,1,-1
2,1,2,1
3,2,1,-2
4,2,3,2
5,3,1,-2
6,3,5,2
7,4,1,-2
8,4,2,2
9,5,1,2
10,5,2,-2
11,6,1,2
12,6,3,-2
13,7,3,1
14,7,5,-1
15,8,3,-2
16,8,5,2
17,9,1,2
18,9,3,-2
19,10,1,2
20,10,3,-2
21,11,1,2
22,11,5,-2
23,12,3,2
24,12,5,-2
25,13,1,-1
26,13,5,1
27,14,2,2
28,14,5,-2
29,15,2,-2
30,15,5,2
31,16,1,2
32,16,5,-2
33,17,1,2
34,17,2,-2
35,18,1,-2
36,18,3,2
37,19,1,1
38,19,3,-1
39,20,1,2
40,20,2,-2
41,21,1,-2
42,21,2,2
43,22,1,-2
44,22,3,2
45,23,1,-2
46,23,5,2
47,24,1,-2
48,24,2,2
49,25,1,1
50,25,2,-1
