id,species_id,area_id,base_score,rate
1,1,2,50,30
2,2,2,80,10
3,3,2,90,3
4,4,2,50,30
5,5,2,80,10
6,6,2,90,3
7,7,4,50,30
8,8,4,80,10
9,9,4,90,3
10,10,1,30,50
11,11,1,50,30
12,12,1,70,20
13,13,1,30,50
14,14,1,50,30
15,15,1,70,20
16,16,2,30,50
17,17,2,50,30
18,18,2,70,20
19,19,2,30,50
20,20,2,50,30
21,21,2,30,50
22,22,2,50,30
23,23,1,30,50
24,24,1,50,30
25,25,1,80,10
26,26,1,90,3
27,27,3,50,30
28,28,3,70,20
29,29,2,30,50
30,30,2,50,30
31,31,2,70,20
32,32,2,30,50
33,33,2,50,30
34,34,2,70,20
35,35,3,80,10
36,36,3,90,3
37,37,2,70,20
38,38,2,80,10
39,39,2,80,10
40,40,2,90,3
41,41,3,30,50
42,42,3,50,30
43,43,1,30,50
44,44,1,50,30
45,45,1,70,20
46,46,1,30,50
47,47,1,50,30
48,48,1,30,50
49,49,1,50,30
50,50,3,30,50
51,51,3,50,30
52,52,2,50,30
53,53,2,70,20
54,54,4,50,30
55,55,4,70,20
56,56,3,50,30
57,57,3,70,20
58,58,2,70,20
59,59,2,80,10
60,60,4,50,30
61,61,4,80,10
62,62,4,90,3
63,63,2,50,30
64,64,2,80,10
65,65,2,90,3
66,66,3,50,30
67,67,3,80,10
68,68,3,90,3
69,69,1,30,50
70,70,1,50,30
71,71,1,70,20
72,72,5,30,50
73,73,5,50,30
74,74,3,30,50
75,75,3,50,30
76,76,3,70,20
77,77,2,50,30
78,78,2,70,20
79,79,4,50,30
80,80,4,70,20
81,81,3,50,30
82,82,3,70,20
83,83,2,70,20
84,84,2,50,30
85,85,2,70,20
86,86,5,50,30
87,87,5,70,20
88,88,2,50,30
89,89,2,70,20
90,90,5,50,30
91,91,5,70,20
92,92,1,50,30
93,93,1,80,10
94,94,1,90,3
95,95,3,80,10
96,96,1,50,30
97,97,1,70,20
98,98,5,50,30
99,99,5,70,20
100,100,2,50,30
101,101,2,70,20
102,102,1,50,30
103,103,1,70,20
104,104,3,50,30
105,105,3,70,20
106,106,3,80,10
107,107,3,80,10
108,108,2,70,20
109,109,3,50,30
110,110,3,70,20
111,111,3,50,30
112,112,3,70,20
113,113,2,90,3
114,114,1,50,30
115,115,2,70,20
116,116,5,50,30
117,117,5,70,20
118,118,4,50,30
119,119,4,70,20
120,120,5,50,30
121,121,5,70,20
122,122,2,70,20
123,123,2,70,20
124,124,2,70,20
125,125,3,70,20
126,126,3,70,20
