id,pokemon_id,ability_id,is_hidden,slot
1,1,65,0,1
2,1,34,1,3
3,2,65,0,1
4,2,34,1,3
5,3,65,0,1
6,3,34,1,3
7,4,66,0,1
8,4,94,1,3
9,5,66,0,1
10,5,94,1,3
11,6,66,0,1
12,6,94,1,3
13,7,67,0,1
14,7,44,1,3
15,8,67,0,1
16,8,44,1,3
17,9,67,0,1
18,9,44,1,3
19,10,19,0,1
20,10,50,1,3
21,11,61,0,1
22,12,14,0,1
23,12,110,1,3
24,13,19,0,1
25,13,50,1,3
26,14,61,0,1
27,15,68,0,1
28,15,97,1,3
29,16,51,0,1
30,16,77,0,2
31,16,145,1,3
32,17,51,0,1
33,17,77,0,2
34,17,145,1,3
35,18,51,0,1
36,18,77,0,2
37,18,145,1,3
38,19,50,0,1
39,19,62,0,2
40,19,55,1,3
41,20,50,0,1
42,20,62,0,2
43,20,55,1,3
44,21,51,0,1
45,21,97,1,3
46,22,51,0,1
47,22,97,1,3
48,23,22,0,1
49,23,61,0,2
50,23,127,1,3
51,24,22,0,1
52,24,61,0,2
53,24,127,1,3
54,25,9,0,1
55,25,31,1,3
56,26,9,0,1
57,26,31,1,3
58,27,8,0,1
59,27,146,1,3
60,28,8,0,1
61,28,146,1,3
62,29,38,0,1
63,29,79,0,2
64,29,55,1,3
65,30,38,0,1
66,30,79,0,2
67,30,55,1,3
68,31,38,0,1
69,31,79,0,2
70,31,125,1,3
71,32,38,0,1
72,32,79,0,2
73,32,55,1,3
74,33,38,0,1
75,33,79,0,2
76,33,55,1,3
77,34,38,0,1
78,34,79,0,2
79,34,125,1,3
80,35,56,0,1
81,35,98,0,2
82,35,132,1,3
83,36,56,0,1
84,36,98,0,2
85,36,109,1,3
86,37,18,0,1
87,37,70,1,3
88,38,18,0,1
89,38,70,1,3
90,39,56,0,1
91,39,172,0,2
92,39,132,1,3
93,40,56,0,1
94,40,172,0,2
95,40,119,1,3
96,41,39,0,1
97,41,151,1,3
98,42,39,0,1
99,42,151,1,3
100,43,34,0,1
101,43,50,1,3
102,44,34,0,1
103,44,1,1,3
104,45,34,0,1
105,45,27,1,3
106,46,27,0,1
107,46,87,0,2
108,46,6,1,3
109,47,27,0,1
110,47,87,0,2
111,47,6,1,3
112,48,14,0,1
113,48,110,0,2
114,48,50,1,3
115,49,19,0,1
116,49,110,0,2
117,49,147,1,3
118,50,8,0,1
119,50,71,0,2
120,50,159,1,3
121,51,8,0,1
122,51,71,0,2
123,51,159,1,3
124,52,53,0,1
125,52,101,0,2
126,52,127,1,3
127,53,7,0,1
128,53,101,0,2
129,53,127,1,3
130,54,6,0,1
131,54,13,0,2
132,54,33,1,3
133,55,6,0,1
134,55,13,0,2
135,55,33,1,3
136,56,72,0,1
137,56,83,0,2
138,56,128,1,3
139,57,72,0,1
140,57,83,0,2
141,57,128,1,3
142,58,22,0,1
143,58,18,0,2
144,58,154,1,3
145,59,22,0,1
146,59,18,0,2
