id,pokemon_color_id,local_language_id,name
1,1,1,黒い
2,1,5,Noir
3,1,6,Schwarz
4,1,8,Nero
5,1,9,Black
6,2,1,青い
7,2,5,Bleu
8,2,6,Blau
9,2,8,Blu
10,2,9,Blue
11,3,1,茶色
12,3,5,Brun
13,3,6,Braun
14,3,8,Marrone
15,3,9,Brown
16,4,1,灰色
17,4,5,Gris
18,4,6,Grau
19,4,8,Grigio
20,4,9,Gray
21,5,1,緑
22,5,5,Vert
23,5,6,Grün
24,5,8,Verde
25,5,9,Green
26,6,1,ピンク
27,6,5,Rose
28,6,6,Rosa
29,6,8,Rosa
30,6,9,Pink
31,7,1,パーパル
32,7,5,Violet
33,7,6,Violett
34,7,8,Viola
35,7,9,Purple
36,8,1,赤い
37,8,5,Rouge
38,8,6,Rot
39,8,8,Rosso
40,8,9,Red
41,9,1,白い
42,9,5,Blanc
43,9,6,Weiß
44,9,8,Bianco
45,9,9,White
46,10,1,黄色
47,10,5,Jaune
48,10,6,Gelb
49,10,8,Giallo
50,10,9,Yellow
