id,pokemon_id,version_id,game_index
1,1,1,153
2,1,2,153
3,1,3,153
4,1,4,1
5,1,5,1
6,1,6,1
7,1,7,1
8,1,8,1
9,1,9,1
10,1,10,1
11,1,11,1
12,1,12,1
13,1,13,1
14,1,14,1
15,1,15,1
16,1,16,1
17,1,17,1
18,1,18,1
19,1,21,1
20,1,22,1
21,2,1,9
22,2,2,9
23,2,3,9
24,2,4,2
25,2,5,2
26,2,6,2
27,2,7,2
28,2,8,2
29,2,9,2
30,2,10,2
31,2,11,2
32,2,12,2
33,2,13,2
34,2,14,2
35,2,15,2
36,2,16,2
37,2,17,2
38,2,18,2
39,2,21,2
40,2,22,2
41,3,1,154
42,3,2,154
43,3,3,154
44,3,4,3
45,3,5,3
46,3,6,3
47,3,7,3
48,3,8,3
49,3,9,3
50,3,10,3
51,3,11,3
52,3,12,3
53,3,13,3
54,3,14,3
55,3,15,3
56,3,16,3
57,3,17,3
58,3,18,3
59,3,21,3
60,3,22,3
61,4,1,176
62,4,2,176
63,4,3,176
64,4,4,4
65,4,5,4
66,4,6,4
67,4,7,4
68,4,8,4
69,4,9,4
70,4,10,4
71,4,11,4
72,4,12,4
73,4,13,4
74,4,14,4
75,4,15,4
76,4,16,4
77,4,17,4
78,4,18,4
79,4,21,4
80,4,22,4
81,5,1,178
82,5,2,178
83,5,3,178
84,5,4,5
85,5,5,5
86,5,6,5
87,5,7,5
88,5,8,5
89,5,9,5
90,5,10,5
91,5,11,5
92,5,12,5
93,5,13,5
94,5,14,5
95,5,15,5
96,5,16,5
97,5,17,5
98,5,18,5
99,5,21,5
100,5,22,5
101,6,1,180
102,6,2,180
103,6,3,180
104,6,4,6
105,6,5,6
106,6,6,6
107,6,7,6
108,6,8,6
109,6,9,6
110,6,10,6
111,6,11,6
112,6,12,6
113,6,13,6
114,6,14,6
115,6,15,6
116,6,16,6
117,6,17,6
118,6,18,6
119,6,21,6
120,6,22,6
121,7,1,177
122,7,2,177
123,7,3,177
124,7,4,7
125,7,5,7
126,7,6,7
127,7,7,7
128,7,8,7
129,7,9,7
130,7,10,7
131,7,11,7
132,7,12,7
133,7,13,7
134,7,14,7
135,7,15,7
136,7,16,7
137,7,17,7
138,7,18,7
139,7,21,7
140,7,22,7
141,8,1,179
142,8,2,179
143,8,3,179
144,8,4,8
145,8,5,8
146,8,6,8
147,8,7,8
148,8,8,8
149,8,9,8
150,8,10,8
151,8,11,8
152,8,12,8
153,8,13,8
154,8,14,8
155,8,15,8
156,8,16,8
157,8,17,8
158,8,18,8
159,8,21,8
160,8,22,8
161,9,1,28
162,9,2,28
163,9,3,28
164,9,4,9
165,9,5,9
166,9,6,9
167,9,7,9
168,9,8,9
169,9,9,9
170,9,10,9
171,9,11,9
172,9,12,9
173,9,13,9
174,9,14,9
175,9,15,9
176,9,16,9
177,9,17,9
178,9,18,9
179,9,21,9
180,9,22,9
181,10,1,123
182,10,2,123
183,10,3,123
184,10,4,10
185,10,5,10
186,10,6,10
187,10,7,10
188,10,8,10
189,10,9,10
190,10,10,10
191,10,11,10
192,10,12,10
193,10,13,10
194,10,14,10
195,10,15,10
196,10,16,10
197,10,17,10
198,10,18,10
199,10,21,10
200,10,22,10
201,11,1,124
202,11,2,124
203,11,3,124
204,11,4,11
205,11,5,11
206,11,6,11
207,11,7,11
208,11,8,11
209,11,9,11
210,11,10,11
211,11,11,11
212,11,12,11
213,11,13,11
214,11,14,11
215,11,15,11
216,11,16,11
217,11,17,11
218,11,18,11
219,11,21,11
220,11,22,11
221,12,1,125
222,12,2,125
223,12,3,125
224,12,4,12
225,12,5,12
226,12,6,12
227,12,7,12
228,12,8,12
229,12,9,12
230,12,10,12
231,12,11,12
232,12,12,12
233,12,13,12
234,12,14,12
235,12,15,12
236,12,16,12
237,12,17,12
238,12,18,12
239,12,21,12
240,12,22,12
241,13,1,112
242,13,2,112
243,13,3,112
244,13,4,13
245,13,5,13
246,13,6,13
247,13,7,13
248,13,8,13
249,13,9,13
250,13,10,13
251,13,11,13
252,13,12,13
253,13,13,13
254,13,14,13
255,13,15,13
256,13,16,13
257,13,17,13
258,13,18,13
259,13,21,13
260,13,22,13
261,14,1,113
262,14,2,113
263,14,3,113
264,14,4,14
265,14,5,14
266,14,6,14
267,14,7,14
268,14,8,14
269,14,9,14
270,14,10,14
271,14,11,14
272,14,12,14
273,14,13,14
274,14,14,14
275,14,15,14
276,14,16,14
277,14,17,14
278,14,18,14
279,14,21,14
