id,pokemon_shape_id,local_language_id,name,awesome_name,description
1,1,5,Balle,Pomacé,"Pokémon constitués uniquement d'une tête"
2,1,9,Ball,Pomaceous,"Pokémon consisting of only a head"
3,2,5,Sinueux,Caudal,"Pokémon avec un corps serpentin"
4,2,9,Squiggle,Caudal,"Pokémon with serpentine bodies"
5,3,5,Poisson,Ichtyque,"Pokémon disposant de nageoires"
6,3,9,Fish,Ichthyic,"Pokémon with fins"
7,4,5,Bras,Brachial,"Pokémon constitués d'une tête et de bras"
8,4,9,Arms,Brachial,"Pokémon consisting of a head and arms"
9,5,5,Goutte,Alvin,"Pokémon constitués d'une tête et d'un corps"
10,5,9,Blob,Alvine,"Pokémon consisting of a head and a base"
11,6,5,Droit,Sciurine,"Pokémon bipèdes disposant d'une queue"
12,6,9,Upright,Sciurine,"Pokémon with a bipedal, tailed form"
13,7,5,Jambes,Crural,"Pokémon constitués d'une tête et de jambes"
14,7,9,Legs,Crural,"Pokémon consisting of a head and legs"
15,8,5,Quadrupède,Mensal,"Pokémon quadrupèdes"
16,8,9,Quadruped,Mensal,"Pokémon with a quadruped body"
17,9,5,Ailes,Alaire,"Pokémon avec une seule paire d'aile"
18,9,9,Wings,Alar,"Pokémon with a single pair of wings"
19,10,5,Tentacules,Ciliaire,"Pokémon avec des tentacules ou possédant de multiples pattes"
20,10,9,Tentacles,Cilial,"Pokémon with tentacles or a multiped body"
21,11,5,Têtes,Polycéphale,"Pokémon avec un corps multiple"
22,11,9,Heads,Polycephalic,"Pokémon consisting of multiple bodies"
23,12,5,Humanoïde,Anthropomorphique,"Pokémon bipèdes sans queue"
24,12,9,Humanoid,Anthropomorphic,"Pokémon with a bipedal, tailless form"
25,13,5,"Ailes d'insecte",Lépidoptère,"Pokémon avec deux paires d'ailes"
26,13,9,"Bug wings",Lepidopterous,"Pokémon with two or more pairs of wings"
27,14,5,Armure,Chitineux,"Pokémon avec un corps insectoïde"
28,14,9,Armor,Chitinous,"Pokémon with an insectoid body"
