id,pokemon_species_id,local_language_id,name,genus
1,1,1,フシギダネ,たね
2,1,2,Fushigidane,
3,1,3,이상해씨,씨앗
4,1,4,妙蛙種子,
5,1,5,Bulbizarre,Graine
6,1,6,Bisasam,Samen
7,1,7,Bulbasaur,Semilla
8,1,8,Bulbasaur,Seme
9,1,9,Bulbasaur,Seed
10,2,1,フシギソウ,たね
11,2,2,Fushigisou,
12,2,3,이상해풀,씨앗
13,2,4,妙蛙草,
14,2,5,Herbizarre,Graine
15,2,6,Bisaknosp,Samen
16,2,7,Ivysaur,Semilla
17,2,8,Ivysaur,Seme
18,2,9,Ivysaur,Seed
19,3,1,フシギバナ,たね
20,3,2,Fushigibana,
21,3,3,이상해꽃,씨앗
22,3,4,妙蛙花,
23,3,5,Florizarre,Graine
24,3,6,Bisaflor,Samen
25,3,7,Venusaur,Semilla
26,3,8,Venusaur,Seme
27,3,9,Venusaur,Seed
28,4,1,ヒトカゲ,とかげ
29,4,2,Hitokage,
30,4,3,파이리,도롱뇽
31,4,4,小火龍,
32,4,5,Salamèche,Lézard
33,4,6,Glumanda,Echse
34,4,7,Charmander,Lagartija
35,4,8,Charmander,Lucertola
36,4,9,Charmander,Lizard
37,5,1,リザード,かえん
38,5,2,Lizardo,
39,5,3,리자드,화염
40,5,4,火恐龍,
41,5,5,Reptincel,Flamme
42,5,6,Glutexo,Flamme
43,5,7,Charmeleon,Llama
44,5,8,Charmeleon,Fiamma
45,5,9,Charmeleon,Flame
46,6,1,リザードン,かえん
47,6,2,Lizardon,
48,6,3,리자몽,화염
49,6,4,噴火龍,
50,6,5,Dracaufeu,Flamme
51,6,6,Glurak,Flamme
52,6,7,Charizard,Llama
53,6,8,Charizard,Fiamma
54,6,9,Charizard,Flame
55,7,1,ゼニガメ,かめのこ
56,7,2,Zenigame,
57,7,3,꼬부기,꼬마거북
58,7,4,傑尼龜,
59,7,5,Carapuce,Minitortue
60,7,6,Schiggy,Minikröte
61,7,7,Squirtle,Tortuguita
62,7,8,Squirtle,Tartaghina
63,7,9,Squirtle,"Tiny Turtle"
64,8,1,カメール,かめ
65,8,2,Kameil,
66,8,3,어니부기,거북
67,8,4,卡咪龜,
68,8,5,Carabaffe,Tortue
69,8,6,Schillok,Kröte
70,8,7,Wartortle,Tortuga
71,8,8,Wartortle,Tartaruga
72,8,9,Wartortle,Turtle
73,9,1,カメックス,こうら
74,9,2,Kamex,
75,9,3,거북왕,껍질
76,9,4,水箭龜,
77,9,5,Tortank,Carapace
78,9,6,Turtok,Panzertier
79,9,7,Blastoise,Marisco
80,9,8,Blastoise,Crostaceo
81,9,9,Blastoise,Shellfish
82,10,1,キャタピー,いもむし
83,10,2,Caterpie,
84,10,3,캐터피,애벌레
85,10,4,綠毛蟲,
86,10,5,Chenipan,Ver
87,10,6,Raupy,Wurm
88,10,7,Caterpie,Gusano
89,10,8,Caterpie,Baco
90,10,9,Caterpie,Worm
91,11,1,トランセル,さなぎ
92,11,2,Trancell,
93,11,3,단데기,번데기
94,11,4,鐵甲蛹,
95,11,5,Chrysacier,Cocon
96,11,6,Safcon,Kokon
97,11,7,Metapod,Capullo
98,11,8,Metapod,Bozzolo
99,11,9,Metapod,Cocoon
100,12,1,バタフリー,ちょうちょ
101,12,2,Butterfree,
102,12,3,버터플,나비
103,12,4,巴大蝴,
104,12,5,Papilusion,Papillon
105,12,6,Smettbo,Falter
106,12,7,Butterfree,Mariposa
107,12,8,Butterfree,Farfalla
108,12,9,Butterfree,Butterfly
109,13,1,ビードル,けむし
110,13,2,Beedle,
111,13,3,뿔충이,송충이
112,13,4,獨角蟲,
113,13,5,Aspicot,Insectopic
114,13,6,Hornliu,Raupe
115,13,7,Weedle,Oruga
116,13,8,Weedle,Millepiedi
117,13,9,Weedle,"Hairy Bug"
118,14,1,コクーン,さなぎ
119,14,2,Cocoon,
120,14,3,딱충이,번데기
121,14,4,鐵殼昆,
122,14,5,Coconfort,Cocon
123,14,6,Kokuna,Kokon
124,14,7,Kakuna,Capullo
125,14,8,Kakuna,Bozzolo
126,14,9,Kakuna,Cocoon
127,15,1,スピアー,どくばち
128,15,2,Spear,
129,15,3,독침붕,독벌
130,15,4,大針蜂,
131,15,5,Dardargnan,Guêpoison
132,15,6,Bibor,Giftbiene
133,15,7,Beedrill,"Abeja Ven."
134,15,8,Beedrill,Velenape
135,15,9,Beedrill,"Poison Bee"
136,16,1,ポッポ,ことり
137,16,2,Poppo,
138,16,3,구구,아기새
139,16,4,波波,
140,16,5,Roucool,Minoiseau
141,16,6,Taubsi,Kleinvogel
142,16,7,Pidgey,Pajarito
143,16,8,Pidgey,Uccellino
144,16,9,Pidgey,"Tiny Bird"
145,17,1,ピジョン,とり
146,17,2,Pigeon,
147,17,3,피죤,새
148,17,4,比比鳥,
149,17,5,Roucoups,Oiseau
150,17,6,Tauboga,Vogel
151,17,7,Pidgeotto,Pájaro
