id,pokemon_id,type_id,slot
1,1,12,1
2,1,4,2
3,2,12,1
4,2,4,2
5,3,12,1
6,3,4,2
7,4,10,1
8,5,10,1
9,6,10,1
10,6,3,2
11,7,11,1
12,8,11,1
13,9,11,1
14,10,7,1
15,11,7,1
16,12,7,1
17,12,3,2
18,13,7,1
19,13,4,2
20,14,7,1
21,14,4,2
22,15,7,1
23,15,4,2
24,16,1,1
25,16,3,2
26,17,1,1
27,17,3,2
28,18,1,1
29,18,3,2
30,19,1,1
31,20,1,1
32,21,1,1
33,21,3,2
34,22,1,1
35,22,3,2
36,23,4,1
37,24,4,1
38,25,13,1
39,26,13,1
40,27,5,1
41,28,5,1
42,29,4,1
43,30,4,1
44,31,4,1
45,31,5,2
46,32,4,1
47,33,4,1
48,34,4,1
49,34,5,2
50,35,18,1
51,36,18,1
52,37,10,1
53,38,10,1
54,39,1,1
55,39,18,2
56,40,1,1
57,40,18,2
58,41,4,1
59,41,3,2
60,42,4,1
61,42,3,2
62,43,12,1
63,43,4,2
64,44,12,1
65,44,4,2
66,45,12,1
67,45,4,2
68,46,7,1
69,46,12,2
70,47,7,1
71,47,12,2
72,48,7,1
73,48,4,2
74,49,7,1
75,49,4,2
76,50,5,1
77,51,5,1
78,52,1,1
79,53,1,1
80,54,11,1
81,55,11,1
82,56,2,1
83,57,2,1
84,58,10,1
85,59,10,1
86,60,11,1
87,61,11,1
88,62,11,1
89,62,2,2
90,63,14,1
91,64,14,1
92,65,14,1
93,66,2,1
94,67,2,1
95,68,2,1
96,69,12,1
97,69,4,2
98,70,12,1
99,70,4,2
100,71,12,1
101,71,4,2
102,72,11,1
103,72,4,2
104,73,11,1
105,73,4,2
106,74,6,1
107,74,5,2
108,75,6,1
109,75,5,2
110,76,6,1
111,76,5,2
112,77,10,1
113,78,10,1
114,79,11,1
115,79,14,2
116,80,11,1
117,80,14,2
118,81,13,1
119,81,9,2
120,82,13,1
121,82,9,2
122,83,1,1
123,83,3,2
124,84,1,1
125,84,3,2
126,85,1,1
127,85,3,2
128,86,11,1
129,87,11,1
130,87,15,2
131,88,4,1
132,89,4,1
133,90,11,1
134,91,11,1
135,91,15,2
136,92,8,1
137,92,4,2
138,93,8,1
139,93,4,2
140,94,8,1
141,94,4,2
142,95,6,1
143,95,5,2
144,96,14,1
145,97,14,1
146,98,11,1
147,99,11,1
148,100,13,1
149,101,13,1
150,102,12,1
151,102,14,2
152,103,12,1
153,103,14,2
154,104,5,1
155,105,5,1
156,106,2,1
157,107,2,1
158,108,1,1
159,109,4,1
160,110,4,1
161,111,5,1
162,111,6,2
163,112,5,1
164,112,6,2
165,113,1,1
166,114,12,1
167,115,1,1
168,116,11,1
169,117,11,1
170,118,11,1
171,119,11,1
172,120,11,1
173,121,11,1
174,121,14,2
175,122,14,1
176,122,18,2
177,123,7,1
178,123,3,2
179,124,15,1
180,124,14,2
181,125,13,1
182,126,10,1
183,127,7,1
184,128,1,1
185,129,11,1
186,130,11,1
187,130,3,2
188,131,11,1
189,131,15,2
190,132,1,1
191,133,1,1
192,134,11,1
193,135,13,1
194,136,10,1
195,137,1,1
196,138,6,1
197,138,11,2
198,139,6,1
199,139,11,2
200,140,6,1
201,140,11,2
202,141,6,1
203,141,11,2
204,142,6,1
205,142,3,2
206,143,1,1
207,144,15,1
208,144,3,2
209,145,13,1
210,145,3,2
211,146,10,1
212,146,3,2
213,147,16,1
214,148,16,1
215,149,16,1
216,149,3,2
217,150,14,1
218,151,14,1
219,152,12,1
220,153,12,1
221,154,12,1
222,155,10,1
223,156,10,1
224,157,10,1
225,158,11,1
