id,super_contest_effect_id,local_language_id,flavor_text
1,1,9,"Enables the user to perform first in the next turn."
2,2,9,"Enables the user to perform last in the next turn."
3,4,9,"Earn +2 if the Judge's Voltage goes up."
4,5,9,"A basic performance using a move known by the Pokémon."
5,6,9,"Earn +3 if no other Pokémon has chosen the same Judge."
6,7,9,"Allows performance of the same move twice in a row."
7,8,9,"Increased Voltage is added to the performance score."
8,9,9,"Earn +15 if all the Pokémon choose the same Judge."
9,10,9,"Lowers the Voltage of all Judges by one each."
10,11,9,"Earn double the score in the next turn."
11,12,9,"Steals the Voltage of the Pokémon that just went."
12,13,9,"Prevents the Voltage from going up in the same turn."
13,14,9,"Makes the order of contestants random in the next turn."
14,15,9,"Earns double the score on the final performance."
15,16,9,"Raises the score if the Voltage is low."
16,17,9,"Earn +2 if the Pokémon performs first in the turn."
17,18,9,"Earn +2 if the Pokémon performs last in the turn."
18,19,9,"Prevents the Voltage from going down in the same turn."
19,20,9,"Earn +3 if two Pokémon raise the Voltage in a row."
20,21,9,"Earn a higher score the later the Pokémon performs."
21,22,9,"Earn +3 if the Pokémon that just went hit max Voltage."
22,23,9,"Earn +3 if the Pokémon gets the lowest score."
