id,type_id,generation_id,game_index
1,1,1,0
2,1,2,0
3,1,3,0
4,1,4,0
5,1,5,0
6,1,6,0
7,2,1,1
8,2,2,1
9,2,3,1
10,2,4,1
11,2,5,1
12,2,6,1
13,3,1,2
14,3,2,2
15,3,3,2
16,3,4,2
17,3,5,2
18,3,6,2
19,4,1,3
20,4,2,3
21,4,3,3
22,4,4,3
23,4,5,3
24,4,6,3
25,5,1,4
26,5,2,4
27,5,3,4
28,5,4,4
29,5,5,4
30,5,6,4
31,6,1,5
32,6,2,5
33,6,3,5
34,6,4,5
35,6,5,5
36,6,6,5
37,7,1,7
38,7,2,7
39,7,3,6
40,7,4,6
41,7,5,6
42,7,6,6
43,8,1,8
44,8,2,8
45,8,3,7
46,8,4,7
47,8,5,7
48,8,6,7
49,9,2,9
50,9,3,8
51,9,4,8
52,9,5,8
53,9,6,8
54,10,1,20
55,10,2,20
56,10,3,10
57,10,4,10
58,10,5,9
59,10,6,9
60,11,1,21
61,11,2,21
62,11,3,11
63,11,4,11
64,11,5,10
65,11,6,10
66,12,1,22
67,12,2,22
68,12,3,12
69,12,4,12
70,12,5,11
71,12,6,11
72,13,1,23
73,13,2,23
74,13,3,13
75,13,4,13
76,13,5,12
77,13,6,12
78,14,1,24
79,14,2,24
80,14,3,14
81,14,4,14
82,14,5,13
83,14,6,13
84,15,1,25
85,15,2,25
86,15,3,15
87,15,4,15
88,15,5,14
89,15,6,14
90,16,1,26
91,16,2,26
92,16,3,16
93,16,4,16
94,16,5,15
95,16,6,15
96,17,2,27
97,17,3,17
98,17,4,17
99,17,5,16
100,17,6,16
101,18,6,17
102,10001,2,19
103,10001,3,9
104,10001,4,9
